#CWE-311 Missing Encryption of Sensitive Data
Attributes Submit Voms server Wms proxy Logger (interlogd) Lb
Encryption 0.29 0.29 0.29 0.29 0.29
Transfering 1.88 2.42 1.88 1.88 1.88
