#CWE-669 Incorrect Resource Transfer Between Spheres
Attributes Submit Wms proxy Lb proxy Logger (interlogd) Lb
Thirdparty 0.32 0.32 0.32 1.96 0.32
Transfering 1.61 1.61 1.61 1.61 1.61
