#CWE-211 Information Exposure Through External Error Message
Attributes Submit Logbook Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
DB_DNS_IDS_FW 2.72 2.72 0.59 0.59 0.59 0.59 0.59 0.59 0.59
Thirdparty 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32
ErrorHandling 0.22 0.22 0.22 1.22 0.22 0.22 0.22 0.22 1.22
