#CWE-212 Improper Cross-boundary Removal of Sensitive Data
Attributes Submit Logbook Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
Trust 1.64 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69
Transfering 1.61 1.61 1.61 2.08 2.08 2.08 2.08 0.52 2.08
