#CWE-538 File and Directory Information Exposure
Attributes Submit Logbook Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
UI_GUI 2.00 1.54 1.54 1.54 1.54 1.54 1.54 1.54 1.54
Tampering 0.15 0.15 0.15 1.83 0.15 0.15 1.83 1.83 1.83
Encryption 0.15 0.15 0.15 1.83 0.15 0.15 1.83 1.83 1.83
User 1.61 3.05 3.00 3.05 3.00 3.05 3.05 3.05 3.05
Owner 3.63 3.63 3.63 3.05 3.63 3.63 3.63 3.05 1.52
Trust 1.64 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69
