#CWE-436 Interpretation Conflict
Attributes Submit Logbook Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
UI_GUI 2.00 1.54 1.54 1.54 1.54 1.54 1.54 1.54 1.54
Trust 1.64 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69
