#CWE-250 Execution with Unnecessary Privileges
Attributes Submit Logbook Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
Owner 4.23 4.23 4.23 3.59 4.23 4.23 4.23 3.59 1.86
UI_GUI 2.33 1.81 1.81 1.81 1.81 1.81 1.81 1.81 1.81
Client_Server 0.40 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70
User 1.96 3.58 3.49 3.58 3.49 3.58 3.58 3.58 3.58
