#CWE-733 Compiler Optimization Removal or Modification of Security-critical Code
Attributes Submit Logbook Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
Encryption 0.15 0.15 0.15 1.83 0.15 0.15 1.83 1.83 1.83
Client_Server 0.40 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70
Transformation 1.61 1.61 1.61 0.52 0.52 0.52 0.52 0.52 0.52
