#CWE-837 Improper Enforcement of a Single Unique Action
Attributes Submit Logbook Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
Owner 3.63 3.63 3.63 3.05 3.63 3.63 3.63 3.05 1.52
User 1.61 3.05 3.00 3.05 3.00 3.05 3.05 3.05 3.05
