#CWE-838 Inappropriate Encoding for Output Context
Attributes Submit Logbook Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
Transfering 1.61 1.61 1.61 2.08 2.08 2.08 2.08 0.52 2.08
Sanitize 0.83 0.83 2.08 2.08 2.08 2.08 2.08 2.08 2.08
