#CWE-311 Missing Encryption of Sensitive Data
Attributes Submit Logbook Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
Encryption 0.29 0.29 0.29 1.83 0.29 0.29 1.83 1.83 1.83
Transfering 1.88 1.88 1.88 2.42 2.42 2.42 2.42 0.68 2.42
