#CWE-348 Use of Less Trusted Source
Attributes Submit Logbook Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
Tampering 0.15 0.15 0.15 1.83 0.15 0.15 1.83 1.83 1.83
Trust 1.64 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69
