#CWE-494 Download of Code Without Integrity Check
Attributes Submit Logbook Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
UI_GUI 2.33 1.81 1.81 1.81 1.81 1.81 1.81 1.81 1.81
Client_Server 0.40 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70
Tampering 0.29 0.29 0.29 1.83 0.29 0.29 1.83 1.83 1.83
DB_DNS_IDS_FW 3.16 3.16 0.77 0.77 0.77 0.77 0.77 0.77 0.77
User 1.96 3.58 3.49 3.58 3.49 3.58 3.58 3.58 3.58
Owner 4.23 4.23 4.23 3.59 4.23 4.23 4.23 3.59 1.86
Trust 1.91 0.84 0.84 0.84 0.84 0.84 0.84 0.84 0.84
