#CWE-260 Password in Configuration File
Attributes Submit Logbook Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
Owner 3.63 3.63 3.63 3.05 3.63 3.63 3.63 3.05 1.52
Encryption 0.15 0.15 0.15 1.83 0.15 0.15 1.83 1.83 1.83
User 1.61 3.05 3.00 3.05 3.00 3.05 3.05 3.05 3.05
