#CWE-322 Key Exchange without Entity Authentication
Attributes Submit Logbook Sa-wm Output.fl Al-jc Condor_g Lrms Condor_startd Job
Owner 3.63 3.63 3.63 3.05 3.63 3.63 3.63 3.05 1.52
Encryption 0.15 0.15 0.15 1.83 0.15 0.15 1.83 1.83 1.83
Trust 1.64 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69
Transfering 1.61 1.61 1.61 2.08 2.08 2.08 2.08 0.52 2.08
User 1.61 3.05 3.00 3.05 3.00 3.05 3.05 3.05 3.05
