#CWE-669 Incorrect Resource Transfer Between Spheres
Attributes Submit Gridftp Wms proxy Workload manager Information service
Thirdparty 0.32 0.32 0.32 1.96 0.32
Transfering 1.61 1.61 1.61 1.61 2.08
