#CWE-838 Inappropriate Encoding for Output Context
Attributes Submit Gridftp Wms proxy Workload manager Information service
Transfering 1.61 1.61 1.61 1.61 2.08
Sanitize 0.83 2.08 0.83 0.83 2.08
