#CWE-497 Exposure of System Data to an Unauthorized Control Sphere
Attributes Submit Wms proxy Workload manager Information service
Owner 3.63 3.63 3.63 3.63
Trust 1.64 0.69 0.69 1.64
User 1.61 3.00 3.00 3.05
