#CWE-406 Insufficient Control of Network Message Volume (Network Amplification)
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Logbook Mysql
Thirdparty 0.32 0.32 0.32 0.32 0.32 0.32 0.32 0.32
DB_DNS_IDS_FW 2.72 0.59 0.59 0.59 0.59 0.59 2.72 2.72
MaxMin 1.05 1.05 1.05 1.05 0.26 1.05 1.05 1.05
User 1.61 3.05 3.05 3.00 3.05 3.00 3.05 3.05
Owner 3.63 3.63 3.63 3.63 3.05 3.63 3.63 3.05
Trust 1.64 0.69 0.69 0.69 0.69 0.69 0.69 0.69
Transfering 1.61 1.61 1.61 1.61 2.08 2.08 1.61 0.52
