#CWE-638 Not Using Complete Mediation
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Logbook Mysql
Owner 3.63 3.63 3.63 3.63 3.05 3.63 3.63 3.05
Client_Server 0.40 0.70 0.70 0.70 0.70 0.70 0.70 0.70
User 1.61 3.05 3.05 3.00 3.05 3.00 3.05 3.05
