#CWE-62 UNIX Hard Link
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Logbook Mysql
Owner 3.63 3.63 3.63 3.63 3.05 3.63 3.63 3.05
User 1.61 3.05 3.05 3.00 3.05 3.00 3.05 3.05
