#CWE-326 Inadequate Encryption Strength
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Logbook Mysql
Encryption 0.15 0.15 1.83 0.15 1.83 0.15 0.15 1.83
Transfering 1.61 1.61 1.61 1.61 2.08 2.08 1.61 0.52
