#CWE-158 Improper Neutralization of Null Byte or NUL Character
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Logbook Mysql
Trust 1.64 0.69 0.69 0.69 0.69 0.69 0.69 0.69
Transfering 1.61 1.61 1.61 1.61 2.08 2.08 1.61 0.52
Sanitize 0.83 0.83 0.83 2.08 2.08 2.08 0.83 2.08
