#CWE-135 Incorrect Calculation of Multi-Byte String Length
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Logbook Mysql
MaxMin 1.05 1.05 1.05 1.05 1.05 1.05
Sanitize 0.83 0.83 2.08 2.08 0.83 2.08
