#CWE-471 Modification of Assumed-Immutable Data (MAID)
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Logbook Mysql
UI_GUI 2.00 1.54 1.54 1.54 1.54 1.54 1.54 1.54
Tampering 0.15 0.15 1.83 0.15 1.83 0.15 0.15 1.83
User 1.61 3.05 3.05 3.00 3.05 3.00 3.05 3.05
Owner 3.63 3.63 3.63 3.63 3.05 3.63 3.63 3.05
Trust 1.64 0.69 0.69 0.69 0.69 0.69 0.69 0.69
Transformation 1.61 1.61 1.61 1.61 0.52 0.52 1.61 0.52
