#CWE-732 Incorrect Permission Assignment for Critical Resource
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Logbook Mysql
Owner 4.23 4.23 4.23 4.23 3.59 4.23 4.23 3.59
User 1.96 3.58 3.58 3.49 3.58 3.49 3.58 3.58
