#CWE-779 Logging of Excessive Data
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Logbook Mysql
MaxMin 1.05 1.05 1.05 1.05 0.26 1.05 1.05 1.05
Logs 1.35 0.44 0.44 1.35 0.44 1.35 1.35 1.35
