#CWE-257 Storing Passwords in a Recoverable Format
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Logbook Mysql
Owner 3.63 3.63 3.63 3.63 3.05 3.63 3.63 3.05
Encryption 0.15 0.15 1.83 0.15 1.83 0.15 0.15 1.83
Client_Server 0.40 0.70 0.70 0.70 0.70 0.70 0.70 0.70
User 1.61 3.05 3.05 3.00 3.05 3.00 3.05 3.05
