#CWE-250 Execution with Unnecessary Privileges
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Logbook Mysql
Owner 4.23 4.23 4.23 4.23 3.59 4.23 4.23 3.59
UI_GUI 2.33 1.81 1.81 1.81 1.81 1.81 1.81 1.81
Client_Server 0.40 0.70 0.70 0.70 0.70 0.70 0.70 0.70
User 1.96 3.58 3.58 3.49 3.58 3.49 3.58 3.58
