#CWE-307 Improper Restriction of Excessive Authentication Attempts
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Logbook Mysql
Owner 4.23 4.23 4.23 4.23 3.59 4.23 4.23 3.59
User 1.96 3.58 3.58 3.49 3.58 3.49 3.58 3.58
TimeOut 1.22 1.22 1.22 1.22 0.34 1.22 1.22 1.22
