#CWE-212 Improper Cross-boundary Removal of Sensitive Data
Attributes Submit Uam-ns Input.fl Sa-wm Output.fl Al-jc Logbook Mysql
Trust 1.64 0.69 0.69 0.69 0.69 0.69 0.69 0.69
Transfering 1.61 1.61 1.61 1.61 2.08 2.08 1.61 0.52
