#CWE-117 Improper Output Neutralization for Logs
Attributes Submit Voms server Wms proxy Lb proxy Lb database
Logs 1.35 0.44 1.35 1.35 1.35
Sanitize 0.83 0.83 0.83 2.08 2.08
