#CWE-347 Improper Verification of Cryptographic Signature
Attributes Submit Voms server Wms proxy Lb proxy Lb database
Encryption 0.15 0.15 0.15 0.15 1.83
Trust 1.64 0.69 0.69 0.69 0.69
