#CWE-311 Missing Encryption of Sensitive Data
Attributes Submit Voms server Wms proxy Lb proxy Lb database
Encryption 0.29 0.29 0.29 0.29 1.83
Transfering 1.88 2.42 1.88 1.88 2.42
