#CWE-20 Improper Input Validation
Attributes Submit Logbook Mysql
UI_GUI 2.00 1.54 1.54
Tampering 0.15 0.15 1.83
Sanitize 0.83 0.83 2.08
Owner 3.63 3.63 3.05
Trust 1.64 0.69 0.69
Transfering 1.61 1.61 0.52
User 1.61 3.05 3.05
