#CWE-96 Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')
Attributes Submit Logbook Mysql
Transfering 1.61 1.61 0.52
Sanitize 0.83 0.83 2.08
Transformation 1.61 1.61 0.52
