#CWE-406 Insufficient Control of Network Message Volume (Network Amplification)
Attributes Submit Logbook Sa-wm Rs Bdii
Thirdparty 0.32 0.32 0.32 0.32 0.32
DB_DNS_IDS_FW 2.72 2.72 0.59 0.59 0.59
MaxMin 1.05 1.05 1.05 0.26 0.26
User 1.61 3.05 3.00 3.00 3.00
Owner 3.63 3.63 3.63 0.52 0.52
Trust 1.64 0.69 0.69 1.64 1.64
Transfering 1.61 1.61 1.61 0.52 0.52
