#CWE-197 Numeric Truncation Error
Attributes Submit Logbook Sa-wm Rs Bdii
MaxMin 1.05 1.05 1.05 0.26 0.26
ErrorHandling 0.22 0.22 0.22 1.22 1.22
Transformation 1.61 1.61 1.61 0.52 0.52
