#CWE-319 Cleartext Transmission of Sensitive Information
Attributes Submit Uam-ns Input.fl Sa-wm Logbook Mysql
Encryption 0.15 0.15 1.83 0.15 0.15 1.83
Trust 1.64 0.69 0.69 0.69 0.69 0.69
Transfering 1.61 1.61 1.61 1.61 1.61 0.52
Transformation 1.61 1.61 1.61 1.61 1.61 0.52
