#CWE-222 Truncation of Security-relevant Information
Attributes Submit Uam-ns Input.fl Sa-wm Logbook Mysql
DB_DNS_IDS_FW 2.72 0.59 0.59 0.59 2.72 2.72
Transformation 1.61 1.61 1.61 1.61 1.61 0.52
