#CWE-436 Interpretation Conflict
Attributes Submit Uam-ns Input.fl Sa-wm Logbook Mysql
UI_GUI 2.00 1.54 1.54 1.54 1.54 1.54
Trust 1.64 0.69 0.69 0.69 0.69 0.69
