#CWE-656 Reliance on Security Through Obscurity
Attributes Submit Uam-ns Input.fl Sa-wm Logbook Mysql
Encryption 0.15 0.15 1.83 0.15 0.15 1.83
Trust 1.64 0.69 0.69 0.69 0.69 0.69
