#CWE-311 Missing Encryption of Sensitive Data
Attributes Submit Uam-ns Input.fl Sa-wm Logbook Mysql
Encryption 0.29 0.29 1.83 0.29 0.29 1.83
Transfering 1.88 1.88 1.88 1.88 1.88 0.68
