#CWE-220 Sensitive Data Under FTP Root
Attributes Submit Uam-ns Input.fl Sa-wm Logbook Mysql
Client_Server 0.40 0.70 0.70 0.70 0.70 0.70
Trust 1.64 0.69 0.69 0.69 0.69 0.69
DB_DNS_IDS_FW 2.72 0.59 0.59 0.59 2.72 2.72
