#CWE-277 Insecure Inherited Permissions
Attributes Submit Uam-ns Input.fl Sa-wm Logbook Mysql
Owner 3.63 3.63 3.63 3.63 3.63 3.05
Trust 1.64 0.69 0.69 0.69 0.69 0.69
User 1.61 3.05 3.05 3.00 3.05 3.05
