#CWE-798 Use of Hard-coded Credentials
Attributes Submit Uam-ns Input.fl Sa-wm Logbook Mysql
Thirdparty 0.42 0.42 0.42 0.42 0.42 0.42
Encryption 0.29 0.29 1.83 0.29 0.29 1.83
DB_DNS_IDS_FW 3.16 0.77 0.77 0.77 3.16 3.16
User 1.96 3.58 3.58 3.49 3.58 3.58
Owner 4.23 4.23 4.23 4.23 4.23 3.59
Trust 1.91 0.84 0.84 0.84 0.84 0.84
