#CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection')
Attributes Submit Uam-ns Input.fl Sa-wm Logbook Mysql
UI_GUI 2.00 1.54 1.54 1.54 1.54 1.54
DB_DNS_IDS_FW 2.72 0.59 0.59 0.59 2.72 2.72
Sanitize 0.83 0.83 0.83 2.08 0.83 2.08
Owner 3.63 3.63 3.63 3.63 3.63 3.05
Transfering 1.61 1.61 1.61 1.61 1.61 0.52
User 1.61 3.05 3.05 3.00 3.05 3.05
