#CWE-200 Information Exposure
Attributes Submit Uam-ns Input.fl Sa-wm Logbook Mysql
Encryption 0.15 0.15 1.83 0.15 0.15 1.83
Thirdparty 0.32 0.32 0.32 0.32 0.32 0.32
