#CWE-200 Information Exposure
Attributes Submit Logbook Al-jc Condor_g Lrms Condor_startd Job
Encryption 0.15 0.15 0.15 0.15 1.83 1.83 1.83
Thirdparty 0.32 0.32 0.32 0.32 0.32 0.32 0.32
