#CWE-782 Exposed IOCTL with Insufficient Access Control
Attributes Submit Logbook Al-jc Condor_g Lrms Condor_startd
Owner 3.63 3.63 3.63 3.63 3.63 3.05
User 1.61 3.05 3.00 3.05 3.05 3.05
