#CWE-307 Improper Restriction of Excessive Authentication Attempts
Attributes Submit Logbook Al-jc Condor_g Lrms Condor_startd Job
Owner 4.23 4.23 4.23 4.23 4.23 3.59 1.86
User 1.96 3.58 3.49 3.58 3.58 3.58 3.58
TimeOut 1.22 1.22 1.22 1.22 1.22 1.22 1.22
