#CWE-135 Incorrect Calculation of Multi-Byte String Length
Attributes Submit Logbook Al-jc Condor_g Lrms Condor_startd
MaxMin 1.05 1.05 1.05 1.05 1.05 1.05
Sanitize 0.83 0.83 2.08 2.08 2.08 2.08
