#CWE-222 Truncation of Security-relevant Information
Attributes Submit Logbook Al-jc Condor_g Lrms Condor_startd Job
DB_DNS_IDS_FW 2.72 2.72 0.59 0.59 0.59 0.59 0.59
Transformation 1.61 1.61 0.52 0.52 0.52 0.52 0.52
