#CWE-733 Compiler Optimization Removal or Modification of Security-critical Code
Attributes Submit Sandbox_dir Job
Encryption 0.15 1.83 1.83
Client_Server 0.40 0.70 0.70
Transformation 1.61 0.52 0.52
