#CWE-308 Use of Single-factor Authentication
Attributes Submit Sandbox_dir Job
Owner 3.63 0.52 1.52
UI_GUI 2.00 1.54 1.54
DB_DNS_IDS_FW 2.72 0.59 0.59
User 1.61 0.52 3.05
