#CWE-96 Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')
Attributes Submit Sandbox_dir Job
Transfering 1.61 0.52 2.08
Sanitize 0.83 2.08 2.08
Transformation 1.61 0.52 0.52
