#CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection')
Attributes Submit Sandbox_dir Job
UI_GUI 2.00 1.54 1.54
DB_DNS_IDS_FW 2.72 0.59 0.59
Sanitize 0.83 2.08 2.08
Owner 3.63 0.52 1.52
Transfering 1.61 0.52 2.08
User 1.61 0.52 3.05
