#CWE-74 Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
Attributes Submit Sandbox_dir Job
Owner 3.63 0.52 1.52
Transfering 1.61 0.52 2.08
Sanitize 0.83 2.08 2.08
User 1.61 0.52 3.05
