#CWE-446 UI Discrepancy for Security Feature
Attributes Submit Sandbox_dir Job
Owner 3.63 0.52 1.52
UI_GUI 2.00 1.54 1.54
Trust 1.64 1.64 0.69
User 1.61 0.52 3.05
