#CWE-406 Insufficient Control of Network Message Volume (Network Amplification)
Attributes Submit Sandbox_dir Job
Thirdparty 0.32 0.32 0.32
DB_DNS_IDS_FW 2.72 0.59 0.59
MaxMin 1.05 0.26 1.05
User 1.61 0.52 3.05
Owner 3.63 0.52 1.52
Trust 1.64 1.64 0.69
Transfering 1.61 0.52 2.08
