#CWE-798 Use of Hard-coded Credentials
Attributes Submit Sandbox_dir Job
Thirdparty 0.42 0.42 0.42
Encryption 0.29 1.83 1.83
DB_DNS_IDS_FW 3.16 0.77 0.77
User 1.96 0.67 3.58
Owner 4.23 0.67 1.86
Trust 1.91 1.91 0.84
