#CWE-20 Improper Input Validation
Attributes Submit Sandbox_dir Job
UI_GUI 2.00 1.54 1.54
Tampering 0.15 1.83 1.83
Sanitize 0.83 2.08 2.08
Owner 3.63 0.52 1.52
Trust 1.64 1.64 0.69
Transfering 1.61 0.52 2.08
User 1.61 0.52 3.05
