#CWE-322 Key Exchange without Entity Authentication
Attributes Submit Sandbox_dir Job
Owner 3.63 0.52 1.52
Encryption 0.15 1.83 1.83
Trust 1.64 1.64 0.69
Transfering 1.61 0.52 2.08
User 1.61 0.52 3.05
