#CWE-257 Storing Passwords in a Recoverable Format
Attributes Submit Sandbox_dir Job
Owner 3.63 0.52 1.52
Encryption 0.15 1.83 1.83
Client_Server 0.40 0.70 0.70
User 1.61 0.52 3.05
